id,transaction,item
267,120,37
268,121,23
269,121,11
270,122,26
271,123,49
272,123,62
273,123,23
274,123,23
275,123,51
276,124,23
277,124,79
278,125,84
279,126,23
280,126,49
281,127,37
282,128,62
283,128,83
284,128,23
285,128,84
286,129,23
287,129,23
288,129,15
289,130,23
290,130,23
291,130,60
292,131,11
293,131,23
294,132,84
295,132,51
296,132,67
297,132,26
298,133,46
299,133,79
300,134,46
301,134,84
302,134,37
303,135,11
304,136,84
305,136,79
306,137,37
307,138,79
308,138,46
309,138,23
310,139,11
311,139,60
312,139,46
313,140,23
314,140,23
315,140,26
316,141,11
317,142,84
318,142,60
319,143,84
320,144,79
321,144,46
322,145,23
323,145,84
324,145,38
325,146,74
326,147,83
327,147,23
328,148,40
329,148,23
330,148,23
331,149,23
332,150,11
333,151,25
334,151,79
335,152,60
336,153,84
337,153,23
338,153,26
339,153,60
340,154,56
341,154,46
342,154,23
343,154,25
344,155,84
345,155,60
346,155,74
347,156,23
348,156,60
349,157,23
350,157,11
351,158,23
352,158,60
353,159,11
354,159,48
355,159,26
356,160,57
357,160,60
358,161,84
359,162,60
360,163,23
361,163,51
362,164,23
363,164,60
364,165,84
365,166,23
366,166,60
367,167,74
368,167,46
369,167,11
370,167,57
371,168,84
372,168,23
373,169,57
374,170,23
375,171,79
376,171,84
377,172,11
378,172,23
379,173,11
380,173,60
381,174,23
382,175,11
383,176,26
384,176,23
385,178,23
386,178,66
387,179,23
388,179,66
389,180,49
390,180,84
391,181,84
392,181,84
393,182,66
394,182,66
395,182,33
396,183,66
397,184,37
398,184,62
399,184,84
400,185,84
401,185,94
402,186,84
403,186,66
404,187,11
405,188,23
406,189,11
407,189,23
408,190,23
409,190,66
410,190,66
411,191,79
412,191,84
413,192,62
414,192,11
415,193,23
416,194,11
417,194,11
418,195,11
419,195,62
420,195,75
421,196,11
422,196,15
423,196,26
424,197,23
425,197,23
426,197,84
427,198,23
428,198,26
429,199,23
430,200,11
431,201,62
432,201,23
433,201,66
434,202,23
435,202,23
436,203,23
437,204,75
438,204,11
439,205,23
440,205,23
441,205,66
442,206,75
443,206,23
444,206,66
445,207,46
446,207,23
447,207,60
448,208,11
449,209,23
450,210,75
451,211,79
452,211,23
453,212,23
454,212,26
455,212,83
456,213,11
457,214,11
458,214,84
459,214,84
460,215,66
461,215,23
462,216,83
463,216,23
464,217,11
465,217,26
466,218,74
467,219,83
468,220,11
469,220,66
470,221,11
471,221,75
472,222,75
473,223,2
474,223,23
475,224,23
476,225,23
477,225,25
478,225,79
479,226,15
480,227,84
481,227,74
482,227,79
483,228,23
484,229,46
485,229,11
486,230,2
487,231,15
488,232,84
489,232,84
490,232,11
491,233,23
492,233,84
493,233,11
494,233,79
495,234,23
496,234,23
497,235,75
498,236,40
499,237,23
500,237,74
501,238,84
502,238,11
503,238,26
504,238,66
505,239,60
506,240,75
507,241,49
508,241,84
509,242,51
510,242,84
511,242,2
512,243,15
513,243,60
514,243,23
515,243,79
516,244,48
517,244,15
518,244,23
519,245,15
520,245,26
521,246,84
522,246,11
523,247,2
524,247,23
525,247,23
526,247,23
527,247,51
528,248,23
529,248,84
530,248,79
531,249,48
532,250,26
533,251,23
534,251,55
535,252,11
536,252,32
537,253,75
538,254,55
539,255,23
540,255,23
541,255,66
542,256,23
543,256,11
544,257,11
545,257,23
546,257,66
547,257,62
548,258,23
549,258,66
550,259,66
551,260,23
552,261,23
553,262,23
554,262,48
555,262,66
556,263,25
557,264,23
558,264,49
559,265,84
560,266,62
561,266,11
562,266,66
563,267,23
564,267,2
565,267,37
566,268,84
567,268,66
568,269,11
569,270,23
570,270,49
571,271,23
572,271,84
573,271,23
574,271,66
575,272,37
576,274,23
577,274,62
578,274,11
579,274,66
580,275,37
581,276,23
582,276,23
583,276,66
584,277,37
585,278,23
586,278,66
587,279,62
588,279,23
589,280,23
590,280,66
591,281,11
592,281,11
593,282,11
594,282,23
595,282,66
596,283,66
597,283,23
598,284,23
599,284,37
600,285,37
601,285,37
602,285,66
603,286,11
604,286,51
605,286,2
606,287,23
607,287,66
608,288,11
609,288,2
610,289,11
611,290,23
612,290,26
613,291,23
614,292,26
615,293,46
616,294,23
617,295,49
618,295,83
619,295,11
620,296,37
621,296,75
622,297,46
623,297,23
624,297,60
625,297,75
626,298,83
627,298,67
628,298,62
629,298,23
630,298,25
631,299,11
632,300,75
633,300,37
634,300,2
635,300,23
636,300,23
637,301,51
638,301,57
639,301,79
640,302,79
641,302,84
642,303,51
643,303,84
644,303,26
645,303,79
646,304,46
647,304,84
648,305,40
649,306,23
650,306,57
651,306,51
652,306,79
653,307,46
654,308,46
655,308,78
656,309,46
657,309,84
658,310,23
659,310,74
660,310,74
661,311,26
662,311,37
663,312,79
664,312,84
665,312,51
666,313,79
667,314,23
668,316,11
669,317,26
670,317,84
671,318,79
672,318,46
673,318,11
674,319,23
675,320,23
676,321,23
677,321,84
678,322,11
679,323,84
680,324,23
681,324,84
682,325,23
683,326,40
684,327,84
685,328,79
686,328,84
687,329,51
688,330,2
689,331,11
690,332,23
691,332,2
692,333,51
693,333,2
694,333,26
695,333,67
696,333,57
697,334,23
698,334,2
699,335,40
700,336,56
701,336,51
702,337,23
703,337,57
704,337,2
705,338,56
706,338,23
707,339,2
708,340,23
709,340,11
710,341,55
711,341,55
712,342,55
713,342,11
714,343,37
715,344,23
716,344,66
717,345,37
718,346,62
719,346,23
720,346,23
721,346,66
722,346,66
723,346,23
724,347,55
725,348,11
726,348,62
727,348,84
728,348,74
729,349,11
730,350,49
731,350,23
732,350,37
733,351,38
734,352,11
735,353,83
736,353,66
737,353,11
738,353,61
739,354,37
740,354,66
741,355,11
742,355,66
743,356,66
744,356,11
745,357,49
746,357,23
747,358,37
748,359,11
749,359,66
750,360,23
751,360,84
752,360,11
753,361,49
754,363,66
755,363,55
756,363,55
757,364,23
758,365,84
759,366,11
760,367,11
761,367,66
762,368,66
763,369,37
764,370,84
765,371,23
766,371,14
767,371,2
768,371,40
769,372,11
770,372,40
771,372,26
772,373,23
773,374,11
774,375,23
775,375,23
776,375,49
777,375,66
778,376,79
779,376,23
780,377,78
781,377,79
782,377,46
783,377,66
784,378,66
785,378,11
786,379,66
787,379,55
788,380,62
789,380,84
790,380,23
791,381,11
792,381,26
793,382,23
794,382,23
795,382,11
796,382,46
797,382,67
798,382,74
799,382,38
800,383,23
801,384,23
802,384,74
803,384,14
804,385,14
805,385,26
806,386,23
807,387,23
808,387,62
809,388,74
810,388,62
811,388,11
812,388,23
813,389,23
814,389,48
815,390,84
816,390,62
817,391,74
818,391,23
819,391,14
820,392,14
821,392,66
822,392,38
823,392,37
824,393,15
825,393,38
826,394,79
827,394,46
828,394,57
829,395,46
830,396,46
831,397,23
832,397,23
833,397,66
834,398,23
835,399,84
836,399,15
837,400,23
838,400,79
839,401,11
840,401,38
841,401,40
842,402,48
843,402,23
844,402,2
845,403,14
846,403,66
847,403,15
848,404,55
849,404,2
850,404,31
851,405,31
852,405,2
853,406,11
854,406,15
855,407,15
856,407,23
857,408,11
858,409,74
859,410,11
860,410,23
861,410,2
862,410,55
863,411,23
864,412,11
865,412,2
866,413,84
867,413,23
868,414,11
869,415,31
870,416,37
871,417,40
872,418,23
873,419,23
874,419,2
875,419,51
876,419,33
877,419,14
878,420,2
879,421,2
880,421,14
881,421,26
882,421,11
883,421,51
884,422,15
885,422,26
886,423,67
887,424,23
888,425,37
889,426,84
890,427,23
891,428,38
892,428,37
893,429,31
894,430,51
895,430,61
896,430,33
897,430,26
898,431,11
899,432,48
900,433,23
901,435,23
902,436,23
903,437,55
904,438,11
905,438,84
906,438,49
907,439,37
908,440,11
909,441,23
910,441,62
911,442,55
912,442,23
913,443,11
914,444,55
915,444,66
916,444,55
917,445,23
918,445,23
919,445,49
920,446,11
921,446,23
922,447,23
923,447,23
924,448,11
925,449,48
926,450,11
927,450,55
928,451,11
929,451,49
930,452,49
931,452,11
932,453,23
933,453,11
934,454,11
935,454,37
936,455,11
937,455,23
938,455,23
939,456,84
940,456,66
941,457,23
942,457,23
943,458,11
944,459,66
945,459,14
946,460,37
947,461,23
948,462,84
949,462,23
950,462,47
951,462,26
952,463,84
953,464,11
954,465,14
955,466,11
956,466,23
957,467,11
958,468,23
959,469,84
960,469,84
961,470,84
962,471,23
963,471,23
964,473,11
965,473,23
966,474,11
967,474,11
968,475,11
969,475,85
970,476,23
971,476,62
972,476,14
973,477,23
974,478,23
975,478,14
976,479,57
977,479,23
978,479,23
979,479,83
980,479,62
981,480,14
982,480,23
983,481,14
984,481,51
985,482,23
986,482,23
987,482,11
988,482,84
989,482,2
990,482,55
991,482,66
992,482,49
993,483,11
994,484,40
995,484,40
996,485,23
997,485,67
998,486,66
999,486,11
1000,487,79
1001,487,75
1002,487,23
1003,487,57
1004,488,51
1005,488,57
1006,488,74
1007,488,67
1008,489,11
1009,489,62
1010,489,62
1011,489,66
1012,489,11
1013,490,46
1014,490,46
1015,490,23
1016,490,23
1017,491,11
1018,491,46
1019,491,23
1020,491,57
1021,492,23
1022,492,83
1023,492,74
1024,492,14
1025,493,23
1026,493,14
1027,494,2
1028,494,23
1029,494,83
1030,495,56
1031,495,23
1032,497,23
1033,497,48
1034,498,79
1035,498,49
1036,498,23
1037,498,23
1038,499,57
1039,499,14
1040,500,75
1041,500,23
1042,501,75
1043,501,23
1044,502,23
1045,502,23
1046,503,23
1047,503,23
1048,503,48
1049,503,14
1050,503,46
1051,504,84
1052,504,15
1053,505,55
1054,506,2
1055,506,84
1056,506,23
1057,507,23
1058,507,51
1059,507,14
1060,507,2
1061,508,23
1062,508,74
1063,509,11
1064,509,79
1065,510,79
1066,510,11
1067,511,11
1068,512,84
1069,512,14
1070,512,26
1071,513,23
1072,513,11
1073,513,14
1074,514,14
1075,515,26
1076,515,11
1077,515,49
1078,516,23
1079,517,84
1080,517,14
1081,517,84
1082,518,2
1083,518,55
1084,518,75
1085,519,48
1086,519,23
1087,519,2
1088,519,26
1089,520,14
1090,521,40
1091,522,84
1092,522,14
1093,523,31
1094,523,40
1095,524,11
1096,524,75
1097,524,40
1098,524,43
1099,524,66
1100,524,23
1101,525,11
1102,525,40
1103,526,48
1104,526,23
1105,526,62
1106,526,55
1107,526,55
1108,527,11
1109,528,11
1110,528,55
1111,529,11
1112,529,23
1113,529,55
1114,529,49
1115,530,49
1116,530,23
1117,530,14
1118,531,11
1119,531,23
1120,531,49
1121,532,75
1122,533,23
1123,533,26
1124,534,23
1125,534,23
1126,534,75
1127,535,11
1128,536,11
1129,537,62
1130,537,49
1131,537,14
1132,537,23
1133,537,23
1134,538,23
1135,539,14
1136,539,48
1137,540,11
1138,541,11
1139,541,11
1140,541,55
1141,542,23
1142,542,48
1143,542,14
1144,543,75
1145,544,62
1146,544,9
1147,544,11
1148,545,23
1149,545,11
1150,545,14
1151,546,15
1152,546,40
1153,547,23
1154,547,48
1155,547,23
1156,547,9
1157,548,75
1158,549,75
1159,550,23
1160,550,11
1161,550,23
1162,550,15
1163,550,55
1164,551,23
1165,551,23
1166,551,55
1167,552,11
1168,552,66
1169,553,11
1170,553,14
1171,554,55
1172,554,37
1173,555,11
1174,555,55
1175,556,14
1176,556,55
1177,556,48
1178,556,78
1179,556,23
1180,557,11
1181,557,84
1182,557,23
1183,557,14
1184,557,55
1185,558,55
1186,558,55
1187,558,26
1188,559,23
1189,559,55
1190,560,11
1191,560,40
1192,562,23
1193,562,84
1194,563,23
1195,563,26
1196,564,66
1197,564,11
1198,564,14
1199,565,11
1200,565,23
1201,565,11
1202,566,62
1203,566,23
1204,566,23
1205,566,84
1206,567,11
1207,568,55
1208,568,23
1209,569,61
1210,569,23
1211,569,14
1212,570,23
1213,570,40
1214,571,23
1215,572,23
1216,572,9
1217,573,37
1218,574,37
1219,575,23
1220,575,14
1221,576,75
1222,576,14
1223,576,61
1224,577,62
1225,577,83
1226,577,23
1227,577,48
1228,577,14
1229,578,14
1230,578,11
1231,578,48
1232,579,49
1233,579,40
1234,580,23
1235,581,40
1236,583,56
1237,583,46
1238,583,23
1239,583,84
1240,583,15
1241,584,23
1242,585,75
1243,586,15
1244,586,94
1245,586,75
1246,587,84
1247,587,15
1248,588,23
1249,588,23
1250,589,23
1251,589,23
1252,590,11
1253,591,39
1254,592,23
1255,592,23
1256,592,61
1257,592,14
1258,593,38
1259,593,36
1260,594,62
1261,594,84
1262,594,23
1263,594,23
1264,594,62
1265,595,48
1266,595,46
1267,595,67
1268,595,14
1269,596,39
1270,596,23
1271,597,11
1272,597,14
1273,598,39
1274,599,75
1275,600,11
1276,601,37
1277,602,67
1278,602,49
1279,602,79
1280,602,14
1281,603,46
1282,603,23
1283,603,84
1284,604,11
1285,605,11
1286,605,39
1287,606,75
1288,608,62
1289,608,83
1290,608,48
1291,608,23
1292,609,23
1293,609,56
1294,610,39
1295,610,23
1296,611,75
1297,612,46
1298,612,23
1299,612,57
1300,613,75
1301,615,11
1302,615,23
1303,616,46
1304,616,79
1305,616,11
1306,616,23
1307,617,14
1308,617,15
1309,617,84
1310,618,56
1311,618,23
1312,620,23
1313,620,84
1314,620,14
1315,620,79
1316,621,15
1317,622,48
1318,622,23
1319,622,15
1320,623,46
1321,623,23
1322,624,23
1323,625,39
1324,625,23
1325,625,14
1326,626,74
1327,626,39
1328,626,25
1329,626,57
1330,626,14
1331,627,43
1332,627,75
1333,628,23
1334,628,25
1335,628,23
1336,629,84
1337,629,84
1338,629,14
1339,629,15
1340,630,40
1341,631,23
1342,632,14
1343,633,15
1344,634,84
1345,635,23
1346,635,23
1347,635,23
1348,635,79
1349,635,74
1350,635,15
1351,636,23
1352,636,11
1353,636,14
1354,637,11
1355,637,23
1356,637,14
1357,638,23
1358,638,11
1359,638,14
1360,639,14
1361,639,23
1362,640,23
1363,640,79
1364,640,14
1365,641,40
1366,642,11
1367,642,38
1368,643,11
1369,643,37
1370,643,49
1371,644,48
1372,644,14
1373,645,48
1374,646,23
1375,646,14
1376,647,55
1377,647,66
1378,648,11
1379,650,23
1380,650,66
1381,650,11
1382,651,62
1383,651,23
1384,651,57
1385,652,66
1386,652,11
1387,652,48
1388,653,11
1389,654,11
1390,655,49
1391,655,23
1392,655,23
1393,655,11
1394,656,62
1395,656,23
1396,656,23
1397,656,66
1398,657,62
1399,657,55
1400,657,23
1401,657,23
1402,657,38
1403,657,46
1404,658,11
1405,658,37
1406,658,23
1407,658,49
1408,659,37
1409,660,23
1410,660,84
1411,660,66
1412,660,55
1413,661,66
1414,661,55
1415,661,23
1416,662,23
1417,662,48
1418,662,9
1419,662,37
1420,663,66
1421,663,37
1422,664,48
1423,664,23
1424,664,61
1425,665,66
1426,665,55
1427,665,60
1428,666,37
1429,667,60
1430,667,66
1431,667,38
1432,668,23
1433,668,84
1434,669,11
1435,670,38
1436,671,23
1437,671,48
1438,671,66
1439,671,49
1440,672,11
1441,673,23
1442,673,66
1443,673,11
1444,674,84
1445,674,62
1446,675,48
1447,675,23
1448,675,57
1449,676,23
1450,676,23
1451,677,23
1452,678,62
1453,678,49
1454,678,23
1455,678,23
1456,680,60
1457,681,11
1458,682,11
1459,683,11
1460,684,62
1461,684,60
1462,684,48
1463,684,23
1464,685,60
1465,685,40
1466,686,11
1467,687,11
1468,688,37
1469,689,23
1470,689,60
1471,690,38
1472,691,11
1473,691,84
1474,692,23
1475,692,48
1476,693,23
1477,693,83
1478,693,23
1479,693,67
1480,693,49
1481,695,49
1482,696,83
1483,697,11
1484,697,23
1485,698,23
1486,698,23
1487,698,57
1488,698,51
1489,698,83
1490,698,67
1491,699,11
1492,699,84
1493,699,51
1494,700,23
1495,700,23
1496,700,15
1497,701,37
1498,702,37
1499,703,15
1500,703,14
1501,703,23
1502,703,23
1503,704,38
1504,704,23
1505,705,84
1506,705,23
1507,705,60
1508,706,23
1509,707,84
1510,707,23
1511,708,46
1512,708,15
1513,708,23
1514,709,11
1515,709,84
1516,709,15
1517,710,56
1518,710,23
1519,711,48
1520,711,60
1521,712,23
1522,712,23
1523,712,79
1524,712,56
1525,713,49
1526,714,23
1527,714,2
1528,715,15
1529,715,48
1530,715,2
1531,716,48
1532,716,84
1533,716,60
1534,717,14
1535,718,15
1536,718,23
1537,719,94
1538,719,2
1539,719,84
1540,720,11
1541,721,83
1542,721,84
1543,721,83
1544,722,56
1545,722,84
1546,723,11
1547,723,40
1548,724,55
1549,724,83
1550,724,23
1551,725,66
1552,725,11
1553,726,66
1554,726,11
1555,727,23
1556,727,84
1557,727,2
1558,727,2
1559,728,2
1560,728,2
1561,728,23
1562,729,23
1563,729,2
1564,730,2
1565,730,66
1566,732,2
1567,733,66
1568,733,84
1569,733,2
1570,733,46
1571,734,84
1572,734,74
1573,735,34
1574,735,84
1575,736,2
1576,736,2
1577,736,84
1578,737,2
1579,738,66
1580,738,31
1581,739,23
1582,739,66
1583,740,37
1584,740,23
1585,741,11
1586,741,75
1587,741,55
1588,742,11
1589,743,66
1590,743,84
1591,743,2
1592,744,66
1593,744,23
1594,745,11
1595,745,66
1596,745,60
1597,745,37
1598,746,55
1599,746,84
1600,747,2
1601,748,74
1602,748,84
1603,749,84
1604,749,11
1605,750,11
1606,750,23
1607,750,66
1608,751,23
1609,751,23
1610,751,60
1611,751,2
1612,751,34
1613,752,23
1614,753,11
1615,754,23
1616,755,23
1617,756,11
1618,757,11
1619,757,66
1620,757,55
1621,757,84
1622,758,84
1623,758,11
1624,759,60
1625,760,23
1626,760,60
1627,761,23
1628,761,11
1629,761,66
1630,761,55
1631,762,23
1632,762,23
1633,762,60
1634,763,60
1635,763,48
1636,763,75
1637,763,11
1638,764,37
1639,765,60
1640,766,23
1641,767,11
1642,768,23
1643,768,23
1644,768,26
1645,769,23
1646,769,23
1647,770,60
1648,771,23
1649,771,84
1650,771,52
1651,772,23
1652,772,55
1653,773,11
1654,774,83
1655,774,75
1656,775,23
1657,775,84
1658,776,11
1659,777,23
1660,777,25
1661,778,23
1662,778,60
1663,779,23
1664,779,11
1665,779,23
1666,779,55
1667,779,60
1668,779,75
1669,780,11
1670,781,25
1671,782,11
1672,782,75
1673,783,23
1674,784,11
1675,785,75
1676,785,11
1677,786,40
1678,786,40
1679,787,79
1680,787,46
1681,787,23
1682,788,25
1683,789,62
1684,789,23
1685,789,26
1686,789,84
1687,790,66
1688,790,84
1689,790,23
1690,791,11
1691,792,23
1692,792,55
1693,793,23
1694,793,23
1695,793,60
1696,793,74
1697,793,79
1698,794,84
1699,794,23
1700,794,60
1701,795,2
1702,796,11
1703,797,23
1704,797,55
1705,798,23
1706,799,23
1707,800,55
1708,802,34
1709,802,11
1710,802,75
1711,803,23
1712,803,83
1713,804,84
1714,805,75
1715,806,60
1716,807,75
1717,807,11
1718,808,11
1719,809,23
1720,810,11
1721,811,11
1722,812,23
1723,812,23
1724,813,26
1725,813,75
1726,814,23
1727,814,11
1728,814,34
1729,814,55
1730,815,23
1731,815,66
1732,816,11
1733,817,66
1734,817,84
1735,818,23
1736,818,23
1737,818,66
1738,819,23
1739,819,11
1740,820,23
1741,820,52
1742,821,40
1743,822,62
1744,822,83
1745,822,23
1746,822,23
1747,824,48
1748,824,23
1749,824,66
1750,824,55
1751,825,2
1752,825,23
1753,826,23
1754,828,23
1755,828,23
1756,828,55
1757,829,25
1758,830,23
1759,830,23
1760,830,2
1761,831,60
1762,832,37
1763,832,14
1764,832,40
1765,833,23
1766,833,23
1767,834,84
1768,834,60
1769,834,37
1770,835,23
1771,835,66
1772,836,66
1773,836,14
1774,837,55
1775,838,23
1776,839,66
1777,839,23
1778,839,51
1779,840,23
1780,840,11
1781,841,84
1782,841,23
1783,842,84
1784,842,2
1785,843,2
1786,843,23
1787,844,75
1788,845,66
1789,845,55
1790,846,14
1791,847,37
1792,848,23
1793,848,26
1794,849,79
1795,850,4
1796,850,23
1797,850,23
1798,850,14
1799,851,23
1800,852,37
1801,853,79
1802,853,4
1803,853,2
1804,853,39
1805,854,74
1806,854,23
1807,855,84
1808,856,37
1809,857,75
1810,857,60
1811,858,37
1812,859,75
1813,860,79
1814,861,46
1815,861,84
1816,861,11
1817,862,48
1818,863,23
1819,863,74
1820,863,46
1821,864,14
1822,864,46
1823,864,74
1824,864,23
1825,865,55
1826,865,23
1827,866,23
1828,866,14
1829,866,79
1830,867,74
1831,867,74
1832,867,2
1833,867,2
1834,867,38
1835,868,37
1836,868,83
1837,869,11
1838,870,23
1839,871,48
1840,871,84
1841,871,60
1842,872,66
1843,873,23
1844,873,14
1845,873,46
1846,873,79
1847,873,10
1848,874,23
1849,875,2
1850,875,55
1851,875,75
1852,875,37
1853,876,79
1854,876,23
1855,877,84
1856,877,84
1857,878,23
1858,878,84
1859,878,26
1860,879,84
1861,879,60
1862,880,23
1863,880,23
1864,880,14
1865,881,23
1866,882,23
1867,883,23
1868,884,37
1869,885,23
1870,885,12
1871,886,23
1872,886,55
1873,887,48
1874,888,23
1875,888,48
1876,888,37
1877,889,66
1878,889,23
1879,890,11
1880,891,66
1881,891,23
1882,892,23
1883,892,23
1884,893,23
1885,893,66
1886,894,37
1887,895,11
1888,896,23
1889,896,48
1890,897,11
1891,898,23
1892,898,38
1893,898,23
1894,898,55
1895,898,11
1896,899,23
1897,900,11
1898,900,52
1899,901,11
1900,901,23
1901,902,11
1902,902,62
1903,903,11
1904,903,55
1905,904,23
1906,905,23
1907,905,23
1908,905,55
1909,906,23
1910,906,26
1911,906,83
1912,907,84
1913,907,11
1914,908,11
1915,908,52
1916,908,23
1917,909,23
1918,909,55
1919,910,23
1920,910,55
1921,911,84
1922,912,51
1923,912,25
1924,912,79
1925,913,11
1926,914,14
1927,915,14
1928,915,11
1929,915,23
1930,916,23
1931,916,66
1932,916,11
1933,916,46
1934,917,11
1935,917,23
1936,917,14
1937,918,23
1938,919,11
1939,919,26
1940,920,40
1941,920,32
1942,921,11
1943,922,11
1944,922,60
1945,923,79
1946,924,23
1947,924,12
1948,925,11
1949,925,83
1950,926,74
1951,926,23
1952,926,40
1953,926,49
1954,926,12
1955,927,12
1956,927,79
1957,927,23
1958,928,46
1959,928,11
1960,929,23
1961,929,23
1962,929,26
1963,930,23
1964,931,11
1965,932,23
1966,932,11
1967,932,79
1968,933,79
1969,933,84
1970,933,38
1971,934,23
1972,934,61
1973,934,26
1974,935,23
1975,935,23
1976,936,23
1977,936,74
1978,936,84
1979,937,75
1980,938,0
1981,939,23
1982,940,55
1983,940,23
1984,941,11
1985,942,11
1986,943,23
1987,943,66
1988,944,37
1989,945,55
1990,945,14
1991,946,11
1992,946,66
1993,946,14
1994,947,66
1995,947,11
1996,947,26
1997,948,11
1998,948,11
1999,949,26
2000,949,66
2001,949,23
2002,949,51
2003,950,66
2004,950,26
2005,950,23
2006,951,23
2007,951,55
2008,952,11
2009,953,83
2010,953,23
2011,954,23
2012,954,55
2013,955,11
2014,956,11
2015,956,23
2016,956,2
2017,956,26
2018,957,11
2019,957,23
2020,957,23
2021,958,11
2022,959,11
2023,959,23
2024,959,84
2025,959,52
2026,959,49
2027,959,26
2028,960,66
2029,960,23
2030,960,51
2031,961,55
2032,961,11
2033,961,38
2034,962,66
2035,962,55
2036,962,23
2037,963,23
2038,964,23
2039,965,23
2040,965,26
2041,965,89
2042,965,14
2043,965,11
2044,966,4
2045,966,84
2046,967,11
2047,968,23
2048,969,23
2049,969,26
2050,970,14
2051,971,11
2052,971,84
2053,971,34
2054,972,11
2055,972,48
2056,973,23
2057,973,26
2058,974,11
2059,975,83
2060,975,74
2061,975,84
2062,975,11
2063,976,79
2064,976,74
2065,976,11
2066,977,79
2067,977,11
2068,978,40
2069,979,23
2070,980,23
2071,980,34
2072,980,79
2073,981,11
2074,981,23
2075,981,14
2076,982,23
2077,982,78
2078,982,51
2079,982,79
2080,982,46
2081,983,2
2082,983,74
2083,983,48
2084,983,23
2085,983,75
2086,983,26
2087,984,84
2088,984,23
2089,985,11
2090,985,26
2091,986,2
2092,986,26
2093,986,11
2094,986,11
2095,987,84
2096,987,14
2097,988,84
2098,988,11
2099,989,23
2100,989,2
2101,990,11
2102,991,34
2103,991,23
2104,992,11
2105,993,23
2106,993,48
2107,994,23
2108,995,23
2109,995,14
2110,996,84
2111,996,48
2112,996,14
2113,996,89
2114,997,23
2115,997,52
2116,998,23
2117,999,2
2118,1000,75
2119,1000,20
2120,1001,11
2121,1001,89
2122,1002,14
2123,1002,38
2124,1003,23
2125,1003,11
2126,1004,23
2127,1004,84
2128,1004,4
2129,1004,26
2130,1005,23
2131,1006,11
2132,1007,23
2133,1007,2
2134,1007,2
2135,1007,25
2136,1008,11
