,dayofweek,month,hour,item_code,counts
102,0,1,15,55,3
103,0,1,15,79,1
104,0,1,15,84,3
105,0,1,15,88,1
106,0,1,16,2,1
107,0,1,16,11,2
108,0,1,16,15,3
109,0,1,16,23,5
110,0,1,16,26,4
111,0,1,16,48,6
112,0,1,16,60,1
113,0,1,16,62,1
114,0,1,16,84,3
115,0,1,16,88,1
116,0,1,16,89,1
117,0,2,8,11,4
118,0,2,8,14,1
119,0,2,8,23,3
120,0,2,8,55,1
121,0,2,8,84,1
122,0,2,9,2,1
123,0,2,9,6,1
124,0,2,9,11,5
125,0,2,9,23,13
126,0,2,9,48,1
127,0,2,9,55,3
128,0,2,9,66,2
129,0,2,9,84,1
130,0,2,9,88,1
131,0,2,10,2,2
132,0,2,10,6,1
133,0,2,10,11,11
134,0,2,10,23,26
135,0,2,10,26,2
136,0,2,10,37,2
137,0,2,10,38,1
138,0,2,10,40,2
139,0,2,10,48,1
140,0,2,10,49,1
141,0,2,10,50,1
142,0,2,10,51,3
143,0,2,10,55,4
144,0,2,10,66,7
145,0,2,10,74,1
146,0,2,10,76,1
147,0,2,10,84,1
148,0,2,10,86,1
149,0,2,11,11,10
150,0,2,11,14,1
151,0,2,11,15,1
152,0,2,11,21,1
153,0,2,11,23,22
154,0,2,11,26,3
155,0,2,11,37,1
156,0,2,11,48,2
157,0,2,11,51,1
158,0,2,11,55,2
159,0,2,11,62,2
160,0,2,11,66,5
161,0,2,11,73,1
162,0,2,11,75,1
163,0,2,11,76,1
164,0,2,11,80,1
165,0,2,11,84,4
166,0,2,12,2,1
167,0,2,12,6,1
168,0,2,12,11,13
169,0,2,12,15,4
170,0,2,12,23,17
171,0,2,12,25,1
172,0,2,12,26,3
173,0,2,12,37,1
174,0,2,12,43,1
175,0,2,12,48,2
176,0,2,12,51,2
177,0,2,12,62,1
178,0,2,12,66,1
179,0,2,12,74,6
180,0,2,12,76,5
181,0,2,12,79,2
182,0,2,12,80,1
183,0,2,12,84,3
184,0,2,12,88,3
185,0,2,12,89,1
186,0,2,13,2,1
187,0,2,13,6,1
188,0,2,13,11,8
189,0,2,13,14,1
190,0,2,13,15,1
191,0,2,13,18,2
192,0,2,13,23,10
193,0,2,13,25,1
194,0,2,13,26,3
195,0,2,13,37,2
196,0,2,13,50,1
197,0,2,13,51,1
198,0,2,13,55,1
199,0,2,13,62,1
200,0,2,13,74,6
201,0,2,13,78,1
202,0,2,13,79,3
203,0,2,13,84,7
204,0,2,14,2,3
205,0,2,14,11,12
206,0,2,14,14,1
207,0,2,14,15,4
208,0,2,14,18,2
209,0,2,14,23,14
210,0,2,14,25,2
211,0,2,14,26,2
212,0,2,14,40,3
213,0,2,14,50,1
214,0,2,14,51,1
215,0,2,14,55,1
216,0,2,14,57,1
217,0,2,14,62,2
218,0,2,14,66,2
219,0,2,14,73,1
220,0,2,14,74,4
221,0,2,14,76,2
222,0,2,14,79,3
223,0,2,14,80,2
224,0,2,14,84,2
225,0,2,14,86,1
226,0,2,14,88,1
227,0,2,14,89,6
228,0,2,15,2,2
229,0,2,15,11,8
230,0,2,15,14,5
231,0,2,15,15,7
232,0,2,15,18,2
233,0,2,15,23,15
234,0,2,15,26,3
235,0,2,15,37,2
236,0,2,15,48,1
237,0,2,15,50,1
238,0,2,15,51,5
239,0,2,15,55,2
240,0,2,15,62,1
241,0,2,15,66,1
242,0,2,15,74,4
243,0,2,15,79,3
244,0,2,15,80,1
245,0,2,15,84,12
246,0,2,15,89,3
247,0,2,16,2,2
248,0,2,16,11,8
249,0,2,16,14,1
250,0,2,16,23,8
251,0,2,16,26,1
252,0,2,16,32,1
253,0,2,16,55,2
254,0,2,16,66,1
255,0,2,16,76,1
256,0,2,16,84,3
257,0,2,16,87,1
258,0,2,16,88,2
259,0,2,17,11,3
260,0,2,17,15,1
261,0,2,17,23,3
262,0,2,17,32,1
263,0,2,17,40,1
264,0,2,17,48,2
265,0,2,17,55,1
266,0,2,17,66,1
267,0,2,17,84,1
268,0,3,8,7,1
269,0,3,8,11,1
270,0,3,8,23,9
271,0,3,8,50,2
272,0,3,8,60,1
273,0,3,8,62,1
274,0,3,8,66,1
275,0,3,9,11,6
276,0,3,9,15,1
277,0,3,9,23,7
278,0,3,9,49,1
279,0,3,9,66,1
280,0,3,10,1,1
281,0,3,10,6,1
282,0,3,10,11,8
283,0,3,10,15,2
284,0,3,10,23,15
285,0,3,10,26,3
286,0,3,10,37,1
287,0,3,10,48,1
288,0,3,10,57,1
289,0,3,10,60,2
290,0,3,10,62,3
291,0,3,10,66,5
292,0,3,10,80,2
293,0,3,10,84,8
294,0,3,10,88,4
295,0,3,11,6,1
296,0,3,11,11,10
297,0,3,11,15,4
298,0,3,11,23,27
299,0,3,11,24,1
300,0,3,11,26,1
301,0,3,11,37,1
302,0,3,11,51,2
303,0,3,11,60,4
304,0,3,11,62,1
305,0,3,11,66,4
306,0,3,11,74,4
307,0,3,11,76,1
308,0,3,11,79,1
309,0,3,11,84,6
310,0,3,11,88,4
311,0,3,11,89,1
312,0,3,12,6,2
313,0,3,12,7,1
314,0,3,12,11,7
315,0,3,12,14,2
316,0,3,12,15,3
317,0,3,12,23,18
318,0,3,12,25,1
319,0,3,12,37,1
320,0,3,12,48,2
321,0,3,12,49,1
322,0,3,12,51,1
323,0,3,12,60,2
324,0,3,12,62,1
325,0,3,12,66,5
326,0,3,12,74,5
327,0,3,12,76,2
328,0,3,12,80,1
329,0,3,12,84,2
330,0,3,12,88,1
331,0,3,13,6,1
332,0,3,13,7,1
333,0,3,13,11,7
334,0,3,13,14,2
335,0,3,13,15,1
336,0,3,13,18,4
337,0,3,13,23,12
338,0,3,13,25,1
339,0,3,13,26,1
340,0,3,13,50,1
341,0,3,13,60,1
342,0,3,13,62,5
343,0,3,13,66,2
344,0,3,13,73,2
345,0,3,13,74,1
346,0,3,13,76,1
347,0,3,13,79,3
348,0,3,13,84,6
349,0,3,13,86,1
350,0,3,13,89,1
351,0,3,14,1,2
352,0,3,14,7,2
353,0,3,14,11,5
354,0,3,14,15,3
355,0,3,14,18,1
356,0,3,14,23,17
357,0,3,14,25,2
358,0,3,14,29,1
359,0,3,14,48,1
360,0,3,14,50,1
361,0,3,14,51,3
362,0,3,14,57,1
363,0,3,14,60,1
364,0,3,14,62,2
365,0,3,14,73,5
366,0,3,14,74,9
367,0,3,14,79,2
368,0,3,14,80,1
369,0,3,14,84,5
370,0,3,14,89,1
371,0,3,15,11,2
372,0,3,15,15,1
373,0,3,15,23,7
374,0,3,15,26,1
375,0,3,15,37,1
376,0,3,15,48,2
377,0,3,15,60,1
378,0,3,15,66,2
379,0,3,15,74,1
380,0,3,15,79,2
381,0,3,15,84,7
382,0,3,15,88,1
383,0,3,16,1,1
384,0,3,16,11,1
385,0,3,16,15,4
386,0,3,16,23,7
387,0,3,16,26,2
388,0,3,16,37,1
389,0,3,16,50,1
390,0,3,16,55,1
391,0,3,16,57,1
392,0,3,16,74,1
393,0,3,16,84,3
394,0,3,17,23,1
395,0,3,17,73,1
396,0,4,8,37,1
397,0,4,9,11,1
398,0,4,9,23,3
399,0,4,10,11,1
400,0,4,10,15,1
401,0,4,10,23,10
402,0,4,10,37,1
403,0,4,10,43,1
404,0,4,10,62,2
405,0,4,10,66,3
406,0,4,10,74,1
407,0,4,10,76,1
408,0,4,10,84,2
409,0,4,10,88,1
410,0,4,11,11,2
411,0,4,11,23,3
412,0,4,11,24,1
413,0,4,11,66,1
414,0,4,11,86,1
415,0,4,11,89,1
416,0,4,12,11,4
417,0,4,12,15,1
418,0,4,12,23,4
419,0,4,12,26,1
420,0,4,12,37,1
421,0,4,12,74,1
422,0,4,12,75,1
423,0,4,12,84,1
424,0,4,12,88,2
425,0,4,12,89,1
426,0,4,13,11,1
427,0,4,13,23,3
428,0,4,13,25,1
429,0,4,13,26,1
430,0,4,13,57,1
431,0,4,13,62,1
432,0,4,13,74,1
433,0,4,13,76,2
434,0,4,13,79,1
435,0,4,13,80,1
436,0,4,13,89,1
437,0,4,14,11,2
438,0,4,14,15,1
439,0,4,14,23,7
440,0,4,14,55,1
441,0,4,14,74,2
442,0,4,14,76,1
443,0,4,14,84,1
444,0,4,15,2,1
445,0,4,15,11,1
446,0,4,15,15,1
447,0,4,15,23,2
448,0,4,15,26,3
449,0,4,15,50,1
450,0,4,15,51,1
451,0,4,15,74,1
452,0,4,15,79,1
453,0,4,15,84,3
454,0,4,16,2,1
455,0,4,16,11,1
456,0,4,16,23,2
457,0,4,16,26,2
458,0,4,16,48,1
459,0,4,16,55,2
460,0,4,16,76,1
461,0,4,16,79,1
462,0,4,16,84,1
463,0,4,16,87,1
464,0,4,16,88,1
465,0,4,17,2,1
466,0,4,17,11,2
467,0,4,17,15,1
468,0,4,17,23,1
469,0,4,17,48,1
470,0,4,17,73,1
471,0,4,17,84,1
472,0,10,8,11,2
473,0,10,8,15,1
474,0,10,8,23,2
475,0,10,8,62,1
476,0,10,8,83,1
477,0,10,9,11,7
478,0,10,9,23,11
479,0,10,9,25,1
480,0,10,9,37,2
481,0,10,9,49,1
482,0,10,9,51,3
483,0,10,9,55,1
484,0,10,9,62,1
485,0,10,9,66,7
486,0,10,9,84,2
487,0,10,10,11,2
488,0,10,10,15,1
489,0,10,10,23,10
490,0,10,10,37,2
491,0,10,10,55,1
492,0,10,10,60,3
493,0,10,10,62,2
494,0,10,10,66,5
495,0,10,10,84,2
496,0,10,11,11,2
497,0,10,11,15,3
498,0,10,11,23,13
499,0,10,11,26,4
500,0,10,11,37,3
501,0,10,11,49,2
502,0,10,11,51,1
503,0,10,11,60,1
504,0,10,11,61,1
505,0,10,11,62,2
506,0,10,11,66,1
507,0,10,11,79,1
508,0,10,11,83,1
509,0,10,11,84,3
510,0,10,12,11,4
511,0,10,12,23,6
512,0,10,12,26,2
513,0,10,12,37,2
514,0,10,12,46,4
515,0,10,12,51,1
516,0,10,12,60,3
517,0,10,12,67,1
518,0,10,12,79,3
519,0,10,12,84,5
520,0,10,13,11,1
521,0,10,13,23,6
522,0,10,13,25,1
523,0,10,13,26,1
524,0,10,13,38,1
525,0,10,13,40,1
526,0,10,13,46,1
527,0,10,13,60,2
528,0,10,13,74,1
529,0,10,13,79,2
530,0,10,13,83,1
531,0,10,13,84,2
532,0,10,14,11,3
533,0,10,14,23,8
534,0,10,14,25,1
535,0,10,14,26,1
536,0,10,14,46,2
537,0,10,14,48,1
538,0,10,14,51,1
539,0,10,14,56,1
540,0,10,14,57,2
541,0,10,14,60,7
542,0,10,14,74,2
543,0,10,14,84,4
544,0,10,15,23,1
545,0,10,15,57,1
546,0,10,15,79,1
547,0,10,15,84,1
548,0,10,17,11,3
549,0,10,17,23,2
550,0,10,17,60,1
551,0,10,18,23,1
552,0,10,18,26,1
553,0,11,7,11,1
554,0,11,7,23,3
555,0,11,7,66,1
556,0,11,8,11,2
557,0,11,8,23,6
558,0,11,8,55,3
559,0,11,8,66,1
560,0,11,8,84,1
561,0,11,9,2,2
562,0,11,9,11,4
563,0,11,9,23,19
564,0,11,9,33,1
565,0,11,9,37,4
566,0,11,9,52,2
567,0,11,9,55,4
568,0,11,9,60,1
569,0,11,9,62,1
570,0,11,9,66,7
571,0,11,9,74,1
572,0,11,9,75,1
573,0,11,9,84,4
574,0,11,10,2,1
575,0,11,10,11,8
576,0,11,10,23,21
577,0,11,10,34,1
578,0,11,10,37,2
579,0,11,10,38,1
580,0,11,10,52,3
581,0,11,10,53,1
582,0,11,10,55,5
583,0,11,10,60,4
584,0,11,10,62,2
585,0,11,10,66,6
586,0,11,10,78,1
587,0,11,10,83,1
588,0,11,10,84,8
589,0,11,10,89,4
590,0,11,11,11,11
591,0,11,11,14,1
592,0,11,11,23,21
593,0,11,11,26,2
594,0,11,11,37,2
595,0,11,11,48,1
596,0,11,11,52,2
597,0,11,11,55,4
598,0,11,11,60,4
599,0,11,11,62,1
600,0,11,11,66,3
601,0,11,11,75,2
602,0,11,11,83,1
603,0,11,11,84,5
604,0,11,12,11,11
605,0,11,12,23,17
606,0,11,12,25,2
607,0,11,12,26,2
608,0,11,12,37,1
609,0,11,12,40,2
610,0,11,12,49,1
611,0,11,12,52,2
612,0,11,12,53,1
613,0,11,12,55,1
614,0,11,12,57,1
615,0,11,12,60,3
616,0,11,12,62,4
617,0,11,12,66,1
618,0,11,12,74,4
619,0,11,12,75,1
620,0,11,12,78,1
621,0,11,12,84,5
622,0,11,12,89,2
623,0,11,13,2,1
624,0,11,13,7,1
625,0,11,13,11,8
626,0,11,13,15,1
627,0,11,13,23,16
628,0,11,13,25,1
629,0,11,13,26,2
630,0,11,13,37,3
631,0,11,13,39,1
632,0,11,13,40,2
633,0,11,13,46,4
634,0,11,13,48,2
635,0,11,13,54,2
636,0,11,13,60,2
637,0,11,13,62,2
638,0,11,13,66,1
639,0,11,13,74,7
640,0,11,13,75,4
641,0,11,13,79,2
642,0,11,13,84,4
643,0,11,13,89,1
644,0,11,14,2,1
645,0,11,14,11,11
646,0,11,14,14,1
647,0,11,14,15,2
648,0,11,14,23,13
649,0,11,14,34,1
650,0,11,14,40,1
651,0,11,14,49,1
652,0,11,14,51,1
653,0,11,14,53,1
654,0,11,14,55,6
655,0,11,14,60,5
656,0,11,14,62,2
657,0,11,14,66,1
658,0,11,14,74,2
659,0,11,14,75,1
660,0,11,14,79,3
661,0,11,14,84,6
662,0,11,14,89,1
663,0,11,15,2,2
664,0,11,15,11,12
665,0,11,15,15,1
666,0,11,15,23,10
667,0,11,15,26,2
668,0,11,15,33,1
669,0,11,15,39,1
670,0,11,15,48,3
671,0,11,15,52,1
672,0,11,15,60,3
673,0,11,15,61,1
674,0,11,15,66,1
675,0,11,15,74,2
676,0,11,15,75,2
677,0,11,15,79,1
678,0,11,15,83,1
679,0,11,15,84,1
680,0,11,16,4,2
681,0,11,16,11,6
682,0,11,16,14,1
683,0,11,16,15,1
684,0,11,16,23,8
685,0,11,16,26,2
686,0,11,16,33,1
687,0,11,16,37,1
688,0,11,16,48,3
689,0,11,16,51,2
690,0,11,16,54,1
691,0,11,16,55,1
692,0,11,16,60,1
693,0,11,16,66,2
694,0,11,16,84,4
695,0,11,16,87,1
696,0,11,17,23,3
697,0,11,17,26,1
698,0,11,17,37,1
699,0,11,17,75,1
700,0,11,18,11,1
701,0,11,18,23,1
702,0,11,18,34,1
703,0,11,18,37,1
704,0,11,18,55,1
705,0,11,18,60,1
706,0,12,8,11,4
707,0,12,8,23,6
708,0,12,8,26,1
709,0,12,8,48,1
710,0,12,8,55,2
711,0,12,8,62,3
712,0,12,8,66,2
713,0,12,8,84,1
714,0,12,8,88,2
715,0,12,9,2,1
716,0,12,9,11,7
717,0,12,9,23,16
718,0,12,9,37,2
719,0,12,9,48,2
720,0,12,9,51,1
721,0,12,9,55,5
722,0,12,9,60,1
723,0,12,9,62,2
724,0,12,9,66,4
725,0,12,9,84,6
726,0,12,9,88,3
727,0,12,10,2,1
728,0,12,10,7,1
729,0,12,10,11,5
730,0,12,10,14,1
731,0,12,10,15,1
732,0,12,10,23,17
733,0,12,10,26,2
734,0,12,10,31,1
735,0,12,10,37,1
736,0,12,10,40,3
737,0,12,10,48,2
738,0,12,10,49,3
739,0,12,10,60,2
740,0,12,10,66,1
741,0,12,10,74,2
742,0,12,10,78,1
743,0,12,10,84,2
744,0,12,10,88,2
745,0,12,11,7,1
746,0,12,11,11,8
747,0,12,11,15,1
748,0,12,11,23,9
749,0,12,11,26,1
750,0,12,11,55,2
751,0,12,11,62,2
752,0,12,11,66,1
753,0,12,11,84,2
754,0,12,11,93,1
755,0,12,12,2,1
756,0,12,12,11,10
757,0,12,12,14,1
758,0,12,12,15,3
759,0,12,12,23,16
760,0,12,12,26,1
761,0,12,12,37,2
762,0,12,12,38,1
763,0,12,12,40,2
764,0,12,12,46,2
765,0,12,12,49,1
766,0,12,12,51,1
767,0,12,12,55,1
768,0,12,12,57,2
769,0,12,12,62,3
770,0,12,12,66,2
771,0,12,12,74,6
772,0,12,12,75,1
773,0,12,12,84,1
774,0,12,12,88,1
775,0,12,12,89,1
776,0,12,12,93,2
777,0,12,13,11,9
778,0,12,13,14,1
779,0,12,13,15,2
780,0,12,13,23,13
781,0,12,13,26,3
782,0,12,13,39,1
783,0,12,13,55,1
784,0,12,13,60,1
785,0,12,13,62,2
786,0,12,13,74,4
787,0,12,13,84,4
788,0,12,13,89,1
789,0,12,14,2,2
790,0,12,14,11,6
791,0,12,14,14,1
792,0,12,14,15,3
793,0,12,14,23,9
794,0,12,14,25,2
795,0,12,14,46,1
796,0,12,14,48,1
797,0,12,14,51,2
798,0,12,14,57,1
799,0,12,14,60,3
800,0,12,14,62,5
801,0,12,14,74,7
802,0,12,14,76,1
803,0,12,14,84,4
804,0,12,14,88,1
805,0,12,14,89,1
806,0,12,15,11,10
807,0,12,15,14,1
808,0,12,15,15,1
809,0,12,15,23,13
810,0,12,15,26,1
811,0,12,15,40,2
812,0,12,15,48,2
813,0,12,15,49,2
814,0,12,15,50,1
815,0,12,15,51,2
816,0,12,15,55,3
817,0,12,15,74,2
818,0,12,15,84,7
819,0,12,15,89,1
820,0,12,15,93,1
821,0,12,16,2,2
822,0,12,16,11,5
823,0,12,16,14,1
824,0,12,16,15,1
825,0,12,16,23,5
826,0,12,16,25,1
827,0,12,16,26,1
828,0,12,16,55,1
829,0,12,16,62,1
830,0,12,16,66,1
831,0,12,16,74,2
832,0,12,16,84,2
833,0,12,16,93,1
834,1,1,8,11,4
835,1,1,9,2,1
836,1,1,9,11,11
837,1,1,9,14,1
838,1,1,9,23,19
839,1,1,9,26,1
840,1,1,9,37,3
841,1,1,9,38,1
842,1,1,9,66,4
843,1,1,9,74,2
844,1,1,9,75,2
845,1,1,9,84,3
846,1,1,9,88,3
847,1,1,10,6,1
848,1,1,10,11,9
849,1,1,10,14,1
850,1,1,10,15,3
851,1,1,10,23,28
852,1,1,10,26,1
853,1,1,10,37,1
854,1,1,10,48,2
855,1,1,10,51,1
856,1,1,10,55,1
857,1,1,10,62,2
858,1,1,10,66,2
859,1,1,10,80,1
860,1,1,10,84,1
861,1,1,10,88,4
862,1,1,10,93,2
863,1,1,11,2,2
864,1,1,11,7,1
865,1,1,11,11,11
866,1,1,11,15,4
867,1,1,11,23,18
868,1,1,11,26,2
869,1,1,11,37,3
870,1,1,11,55,1
871,1,1,11,60,1
872,1,1,11,66,3
873,1,1,11,74,1
874,1,1,11,75,3
875,1,1,11,76,2
876,1,1,11,84,7
877,1,1,11,93,1
878,1,1,12,4,1
879,1,1,12,6,1
880,1,1,12,11,7
881,1,1,12,15,5
882,1,1,12,18,2
883,1,1,12,23,19
884,1,1,12,25,1
885,1,1,12,26,4
886,1,1,12,37,3
887,1,1,12,38,1
888,1,1,12,48,1
889,1,1,12,50,1
890,1,1,12,51,1
891,1,1,12,55,1
892,1,1,12,60,1
893,1,1,12,62,13
894,1,1,12,73,1
895,1,1,12,74,6
896,1,1,12,75,1
897,1,1,12,76,1
898,1,1,12,79,2
899,1,1,12,80,2
900,1,1,12,84,5
901,1,1,12,88,2
902,1,1,13,2,1
903,1,1,13,4,2
904,1,1,13,6,2
905,1,1,13,11,13
906,1,1,13,14,1
907,1,1,13,15,11
908,1,1,13,18,3
909,1,1,13,23,23
910,1,1,13,25,4
911,1,1,13,26,2
912,1,1,13,37,1
913,1,1,13,38,1
914,1,1,13,39,3
915,1,1,13,46,2
916,1,1,13,48,2
917,1,1,13,50,1
918,1,1,13,51,2
919,1,1,13,57,1
920,1,1,13,60,3
921,1,1,13,62,10
922,1,1,13,66,3
923,1,1,13,73,4
924,1,1,13,74,8
925,1,1,13,75,2
926,1,1,13,76,1
927,1,1,13,78,1
928,1,1,13,79,2
929,1,1,13,80,2
930,1,1,13,84,6
931,1,1,13,88,1
932,1,1,13,89,4
933,1,1,13,93,1
934,1,1,14,2,1
935,1,1,14,11,3
936,1,1,14,15,2
937,1,1,14,18,1
938,1,1,14,23,10
939,1,1,14,26,2
940,1,1,14,39,1
941,1,1,14,40,2
942,1,1,14,46,1
943,1,1,14,60,1
944,1,1,14,62,4
945,1,1,14,66,2
946,1,1,14,74,2
947,1,1,14,79,1
948,1,1,14,84,5
949,1,1,14,89,1
950,1,1,15,11,3
951,1,1,15,15,5
952,1,1,15,18,1
953,1,1,15,23,13
954,1,1,15,25,1
955,1,1,15,26,1
956,1,1,15,48,1
957,1,1,15,60,1
958,1,1,15,62,2
959,1,1,15,74,1
960,1,1,15,79,1
961,1,1,15,84,6
962,1,1,15,86,1
963,1,1,15,88,1
964,1,1,15,93,1
965,1,1,16,11,10
966,1,1,16,15,6
967,1,1,16,23,9
968,1,1,16,26,1
969,1,1,16,48,3
970,1,1,16,66,2
971,1,1,16,74,1
972,1,1,16,84,3
973,1,1,17,11,1
974,1,1,17,14,1
975,1,1,17,15,3
976,1,1,17,23,2
977,1,1,17,26,1
978,1,1,17,60,1
979,1,1,17,84,3
980,1,2,8,1,1
981,1,2,8,2,1
982,1,2,8,11,7
983,1,2,8,15,1
984,1,2,8,23,3
985,1,2,8,74,1
986,1,2,9,2,1
987,1,2,9,6,3
988,1,2,9,11,4
989,1,2,9,15,1
990,1,2,9,23,8
991,1,2,9,37,2
992,1,2,9,48,3
993,1,2,9,51,1
994,1,2,9,55,1
995,1,2,9,62,1
996,1,2,9,66,3
997,1,2,9,84,3
998,1,2,9,88,3
999,1,2,9,89,1
1000,1,2,10,11,15
1001,1,2,10,14,1
1002,1,2,10,15,1
1003,1,2,10,23,12
1004,1,2,10,25,1
1005,1,2,10,26,1
1006,1,2,10,37,1
1007,1,2,10,57,1
1008,1,2,10,62,1
1009,1,2,10,63,1
1010,1,2,10,66,5
1011,1,2,10,75,1
1012,1,2,10,84,1
1013,1,2,10,88,1
1014,1,2,11,2,2
1015,1,2,11,11,11
1016,1,2,11,15,5
1017,1,2,11,23,19
1018,1,2,11,32,1
1019,1,2,11,37,1
1020,1,2,11,48,2
1021,1,2,11,49,1
1022,1,2,11,62,1
1023,1,2,11,66,3
1024,1,2,11,73,1
1025,1,2,11,75,1
1026,1,2,11,76,2
1027,1,2,11,84,5
1028,1,2,11,88,1
1029,1,2,12,2,2
1030,1,2,12,6,2
1031,1,2,12,11,10
1032,1,2,12,15,3
1033,1,2,12,18,2
1034,1,2,12,21,1
1035,1,2,12,23,22
1036,1,2,12,26,2
1037,1,2,12,37,1
1038,1,2,12,48,2
1039,1,2,12,50,1
1040,1,2,12,51,1
1041,1,2,12,55,2
1042,1,2,12,66,2
1043,1,2,12,76,1
1044,1,2,12,84,2
1045,1,2,13,6,1
1046,1,2,13,11,6
1047,1,2,13,15,5
1048,1,2,13,18,1
1049,1,2,13,23,12
1050,1,2,13,25,2
1051,1,2,13,26,1
1052,1,2,13,32,1
1053,1,2,13,37,1
1054,1,2,13,48,1
1055,1,2,13,51,1
1056,1,2,13,57,1
1057,1,2,13,66,2
1058,1,2,13,73,1
1059,1,2,13,74,3
1060,1,2,13,76,1
1061,1,2,13,79,3
1062,1,2,13,84,3
1063,1,2,14,6,1
1064,1,2,14,11,4
1065,1,2,14,15,5
1066,1,2,14,23,12
1067,1,2,14,25,1
1068,1,2,14,26,2
1069,1,2,14,37,2
1070,1,2,14,48,1
1071,1,2,14,55,1
1072,1,2,14,62,1
1073,1,2,14,66,2
1074,1,2,14,73,1
1075,1,2,14,74,3
1076,1,2,14,75,1
1077,1,2,14,79,1
1078,1,2,14,80,3
1079,1,2,14,84,10
1080,1,2,14,88,1
1081,1,2,15,1,1
1082,1,2,15,2,7
1083,1,2,15,11,8
1084,1,2,15,14,1
1085,1,2,15,15,4
1086,1,2,15,23,13
1087,1,2,15,26,2
1088,1,2,15,48,5
1089,1,2,15,49,1
1090,1,2,15,51,1
1091,1,2,15,66,1
1092,1,2,15,74,1
1093,1,2,15,78,1
1094,1,2,15,79,2
1095,1,2,15,80,1
1096,1,2,15,84,6
1097,1,2,15,88,2
1098,1,2,15,89,2
1099,1,2,16,2,3
1100,1,2,16,6,2
1101,1,2,16,11,6
1102,1,2,16,15,2
1103,1,2,16,23,11
1104,1,2,16,26,5
1105,1,2,16,37,1
1106,1,2,16,48,1
1107,1,2,16,57,1
1108,1,2,16,76,1
1109,1,2,16,78,1
1110,1,2,16,84,3
1111,1,2,16,88,1
1112,1,2,16,93,1
1113,1,2,17,2,1
1114,1,2,17,6,1
1115,1,2,17,11,3
1116,1,2,17,14,1
1117,1,2,17,15,5
1118,1,2,17,18,1
1119,1,2,17,23,6
1120,1,2,17,26,1
1121,1,2,17,48,2
1122,1,2,17,57,1
1123,1,2,17,66,1
1124,1,2,17,74,1
1125,1,2,17,78,1
1126,1,2,17,84,5
1127,1,2,17,92,1
1128,1,2,23,91,2
1129,1,3,8,6,1
1130,1,3,8,11,1
1131,1,3,8,15,1
1132,1,3,8,23,3
1133,1,3,8,50,1
1134,1,3,8,66,4
1135,1,3,9,6,1
1136,1,3,9,11,9
1137,1,3,9,15,1
1138,1,3,9,23,16
1139,1,3,9,25,1
1140,1,3,9,26,3
1141,1,3,9,37,1
1142,1,3,9,57,1
1143,1,3,9,66,5
1144,1,3,9,75,1
1145,1,3,9,84,1
1146,1,3,9,88,2
1147,1,3,10,6,3
1148,1,3,10,7,1
1149,1,3,10,11,6
